File_Path,Description
/var/log/syslo?.log,System log file with one character wildcard
/var/log/auth.lo?,Authentication log file with one character wildcard
/home/user/.bas?_history,User bash history with one character wildcard
/home/user/.ssh/id_rs?.pub,SSH public key with one character wildcard
/home/user/projects/myapp/main.p?,Python application main file with one character wildcard
/home/user/projects/myapp/requirements.txt,Python project dependencies
/home/user/projects/myapp/app.log,Application log file
/etc/ssh/sshd_config,SSH daemon configuration file
/etc/fstab,File system table
/etc/passwd,User account information
/etc/group,Group account information
/home/user/.vimrc,Vim editor configuration
/home/user/.gitconfig,Git configuration file
/home/user/projects/myapp/.gitignore,Git ignore file for myapp project
/home/user/scripts/backup.sh,Backup script
/var/log/nginx/access.log,Nginx access log
/var/log/nginx/error.log,Nginx error log
/home/user/.profile,User profile script
/home/user/documents/report[0-9].txt,Sample text document with digit
/home/user/documents/resume[AB].pdf,Personal resume document with letter A or B
/home/user/pictures/vacation[1-3].jpg,Vacation photo with digit 1 to 3
/home/user/music/playlist[!1].m3u,"Music playlist file, excluding 1"
/home/user/projects/myapp/config[01].yaml,YAML configuration file for myapp with digit 0 or 1
/home/user/projects/myapp/settings.json,JSON settings file for myapp
/home/user/projects/webapp/index.html,HTML file for web application
/home/user/projects/webapp/styles.css,CSS file for web application
/home/user/projects/webapp/app.js,JavaScript file for web application
/home/user/projects/rust_app/src/main.rs,Rust main source file
/home/user/projects/cpp_app/main.cpp,C++ main source file
/home/user/projects/ruby_app/app.rb,Ruby application file
/home/user/projects/node_app/server.js,Node.js server file
/home/user/projects/node_app/package.json,Node.js project dependencies
/home/user/projects/data_analysis/data.csv,CSV data file for analysis
/home/user/projects/data_analysis/analysis.ipynb,Jupyter Notebook for data analysis
/home/user/projects/mobile_app/MainActivity.java,Java source file for Android app
/home/user/projects/mobile_app/build.gradle,Gradle build file for Android app
/home/user/projects/go_app/main.go,Go main source file
/home/user/projects/php_app/index.php,PHP index file for web application
/home/user/documents/notes.txt,Personal notes text file
../code/js/README!!.md,Markdown readme file with unusual name
../random_stuff/.hiddenfile,Hidden file with no extension
./my_project/scripts/run_me!.sh,Bash script with unusual name
../backup_2024/old_data!.bak,Backup file with unusual name
./temp_files/temporary@file.txt,Temporary text file with special character
../config/!special_config.conf,Configuration file with special character
./data_analysis/strange_data_#.csv,CSV data file with unusual name
../docs/unique_doc$%.pdf,PDF document with special characters
./project_x/code/strange_main!.py,Python script with unusual name
./project_x/code/helpers/utility@tool.js,JavaScript utility file with special character
../secret/.super_secret_key,Hidden file with unusual name
../archive/old_stuff_%.tar.gz,Archived file with special character
./logs/verbose_#log.log,Log file with unusual name
../misc_files/extra%notes.txt,Text file with special character
./bin/executable@@file,Executable file with unusual name
../html/odd_page@.html,HTML file with special character
./scripts/!run_this!.pl,Perl script with special characters
./rust_code/src/weird_main.rs,Rust main source file with unusual name
./Downloads/school.ipynb,Jupyter Notebook for school projects
../code/js/uncommon_script$.js,JavaScript file with unusual name
file1.txt,Simple text file
data.csv,CSV data file
log.log,Log file
script.py,Python script
notes.md,Markdown notes file
config.conf,Configuration file
index.html,HTML file
style.css,CSS file
app.js,JavaScript file
main.rs,Rust source file
main.cpp,C++ source file
app.rb,Ruby application file
server.js,Node.js server file
settings.json,JSON settings file
build.gradle,Gradle build file
