command,description,file_path,option
grep -A 5 'kernel:.*error' /var/log/syslog,Find lines containing 'kernel:.*error' and print 5 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 10 'user:.*authentication failure' /var/log/syslog,Find lines containing 'user:.*authentication failure' and print 10 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 2 'cron:.*error' /var/log/syslog,Find lines containing 'cron:.*error' and print 2 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 1 'sshd:.*failed password' /var/log/syslog,Find lines containing 'sshd:.*failed password' and print 1 line of context after each match.,/var/log/syslo?.log,-A
grep -A 3 'systemd:.*failed' /var/log/syslog,Find lines containing 'systemd:.*failed' and print 3 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 5 'audit:.*failed' /var/log/syslog,Find lines containing 'audit:.*failed' and print 5 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 1 'apparmor:.*denied' /var/log/syslog,Find lines containing 'apparmor:.*denied' and print 1 line of context after each match.,/var/log/syslo?.log,-A
grep -A 2 'SELinux:.*denied' /var/log/syslog,Find lines containing 'SELinux:.*denied' and print 2 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 3 'iptables:.*DROP' /var/log/syslog,Find lines containing 'iptables:.*DROP' and print 3 lines of context after each match.,/var/log/syslo?.log,-A
grep -A 1 'firewalld:.*blocked' /var/log/syslog,Find lines containing 'firewalld:.*blocked' and print 1 line of context after each match.,/var/log/syslo?.log,-A
grep -A 2 'sshd' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the word 'sshd' and display the line itself and the two lines after it.,/var/log/auth.lo?,-A
grep -A 1 'user123' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the word 'user123' and display the line itself and the line after it.,/var/log/auth.lo?,-A
grep -A 3 'Accepted password' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the phrase 'Accepted password' and display the line itself and the three lines after it.,/var/log/auth.lo?,-A
grep -A 5 'from' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the word 'from' and display the line itself and the five lines after it.,/var/log/auth.lo?,-A
grep -A 10 'port' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the word 'port' and display the line itself and the ten lines after it.,/var/log/auth.lo?,-A
grep -A 2 'localhost' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the word 'localhost' and display the line itself and the two lines after it.,/var/log/auth.lo?,-A
grep -A 1 'sshd' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the word 'sshd' and display the line itself and the line after it.,/var/log/auth.lo?,-A
grep -A 3 '192.168.1.1' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the IP address '192.168.1.1' and display the line itself and the three lines after it.,/var/log/auth.lo?,-A
grep -A 5 '12345' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the port number '12345' and display the line itself and the five lines after it.,/var/log/auth.lo?,-A
grep -A 10 'ssh2' /var/log/auth.log,Find all lines in /var/log/auth.log that contain the protocol 'ssh2' and display the line itself and the ten lines after it.,/var/log/auth.lo?,-A
grep -A 1 'command1' /home/user/.bash_history,Print the line containing 'command1' and the line following it.,/home/user/.bas?_history,-A
grep -A 2 'command2' /home/user/.bash_history,Print the line containing 'command2' and the two lines following it.,/home/user/.bas?_history,-A
grep -A 3 'command3' /home/user/.bash_history,Print the line containing 'command3' and the three lines following it.,/home/user/.bas?_history,-A
grep -A 4 'command4' /home/user/.bash_history,Print the line containing 'command4' and the four lines following it.,/home/user/.bas?_history,-A
grep -A 5 'command5' /home/user/.bash_history,Print the line containing 'command5' and the five lines following it.,/home/user/.bas?_history,-A
grep -A 10 'command1' /home/user/.bash_history,Print the line containing 'command1' and the ten lines following it.,/home/user/.bas?_history,-A
grep -A 20 'command2' /home/user/.bash_history,Print the line containing 'command2' and the twenty lines following it.,/home/user/.bas?_history,-A
grep -A 50 'command3' /home/user/.bash_history,Print the line containing 'command3' and the fifty lines following it.,/home/user/.bas?_history,-A
grep -A 100 'command4' /home/user/.bash_history,Print the line containing 'command4' and the one hundred lines following it.,/home/user/.bas?_history,-A
grep -A 1000 'command5' /home/user/.bash_history,Print the line containing 'command5' and the one thousand lines following it.,/home/user/.bas?_history,-A
grep -A 1 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the line after it.,/home/user/.ssh/id_rs?.pub,-A
